ZONA,COBROS (RD$ MM),MES,AÑO
Zona 2 - San Cristóbal,883.9722169,Octubre,2018
Zona 3 - Baní,186.9266862,Octubre,2018
Zona 4 - San Juan,76.9990612,Octubre,2018
Zona 5 - Barahona,104.4445764,Octubre,2018
Zona 1 - Distrito,1563.265948,Noviembre,2018
Zona 2 - San Cristóbal,782.4708908,Noviembre,2018
Zona 3 - Baní,165.8034864,Noviembre,2018
Zona 4 - San Juan,68.890438,Noviembre,2018
Zona 5 - Barahona,95.5022215,Noviembre,2018
Zona 1 - Distrito,1627.626003,Diciembre,2018
Zona 2 - San Cristóbal,708.9011237,Diciembre,2018
Zona 3 - Baní,151.1313478,Diciembre,2018
Zona 4 - San Juan,65.9072429,Diciembre,2018
Zona 5 - Barahona,74.562165,Diciembre,2018
Zona 1 - Distrito,1403.678532,Enero,2019
Zona 2 - San Cristóbal,732.1836172,Enero,2019
Zona 3 - Baní,140.1878992,Enero,2019
Zona 4 - San Juan,59.3728233,Enero,2019
Zona 5 - Barahona,63.8554112,Enero,2019
Zona 1 - Distrito,1365.725443,Febrero,2019
Zona 2 - San Cristóbal,689.5243906,Febrero,2019
Zona 3 - Baní,170.1645879,Febrero,2019
Zona 4 - San Juan,69.9512497,Febrero,2019
Zona 5 - Barahona,94.1157383,Febrero,2019
Zona 1 - Distrito,1519.171519,Marzo,2019
Zona 2 - San Cristóbal,780.0598824,Marzo,2019
Zona 3 - Baní,183.9505562,Marzo,2019
Zona 4 - San Juan,73.05885,Marzo,2019
Zona 5 - Barahona,98.3252583,Marzo,2019
Zona 1 - Distrito,1442.883817,Abril,2019
Zona 2 - San Cristóbal,725.6092485,Abril,2019
Zona 3 - Baní,172.5704314,Abril,2019
Zona 4 - San Juan,68.2401226,Abril,2019
Zona 5 - Barahona,96.082975,Abril,2019
Zona 1 - Distrito,1674.628962,Mayo,2019
Zona 2 - San Cristóbal,814.8043767,Mayo,2019
Zona 3 - Baní,170.9388599,Mayo,2019
Zona 4 - San Juan,77.7169293,Mayo,2019
Zona 5 - Barahona,114.7695422,Mayo,2019
Zona 1 - Distrito,1663.767343,Junio,2019
Zona 2 - San Cristóbal,823.8337215,Junio,2019
Zona 3 - Baní,196.6704449,Junio,2019
Zona 4 - San Juan,84.4997541,Junio,2019
Zona 5 - Barahona,137.656032,Junio,2019
Zona 1 - Distrito,1809.937945,Julio,2019
Zona 2 - San Cristóbal,859.6896589,Julio,2019
Zona 3 - Baní,182.1582693,Julio,2019
Zona 4 - San Juan,81.0116508,Julio,2019
Zona 5 - Barahona,116.4575527,Julio,2019
Zona 1 - Distrito,1829.029157,Agosto,2019
Zona 2 - San Cristóbal,877.0207808,Agosto,2019
Zona 3 - Baní,180.9043043,Agosto,2019
Zona 4 - San Juan,81.8752442,Agosto,2019
Zona 5 - Barahona,112.067961,Agosto,2019
Zona 1 - Distrito,1762.682523,Septiembre,2019
Zona 2 - San Cristóbal,797.5754679,Septiembre,2019
Zona 3 - Baní,178.481229,Septiembre,2019
Zona 4 - San Juan,75.8642838,Septiembre,2019
Zona 5 - Barahona,108.3914847,Septiembre,2019
Zona 1 - Distrito,1899.242545,Octubre,2019
Zona 2 - San Cristóbal,920.2691694,Octubre,2019
Zona 3 - Baní,191.1432679,Octubre,2019
Zona 4 - San Juan,85.0520751,Octubre,2019
Zona 5 - Barahona,118.8480872,Octubre,2019
Zona 1 - Distrito,1747.800072,Noviembre,2019
Zona 2 - San Cristóbal,818.2533027,Noviembre,2019
Zona 3 - Baní,160.10989,Noviembre,2019
Zona 4 - San Juan,71.7563236,Noviembre,2019
Zona 5 - Barahona,92.4423936,Noviembre,2019
Zona 1 - Distrito,1724.579126,Diciembre,2019
Zona 2 - San Cristóbal,826.2709959,Diciembre,2019
Zona 3 - Baní,160.951469,Diciembre,2019
Zona 4 - San Juan,71.601493,Diciembre,2019
Zona 5 - Barahona,87.2070614,Diciembre,2019
Zona 1 - Distrito,1612.375392,Enero,2020
Zona 2 - San Cristóbal,819.4395378,Enero,2020
