ZONA,COBROS (RD$ MM),MES,AÑO
Zona Bani,345.2284012,Octubre,2025
Zona San Juan ,148.3390118,Octubre,2025
Zona Barahona,219.2581029,Octubre,2025
Zona Distrito,2306.624738,Noviembre,2025
Zona Santo Domingo,750.011227,Noviembre,2025
Zona San Cristobal,507.3044012,Noviembre,2025
Zona Bani,309.3062407,Noviembre,2025
Zona San Juan ,131.9301326,Noviembre,2025
Zona Barahona,191.4265434,Noviembre,2025
Zona Distrito,2285.539261,Diciembre,2025
Zona Santo Domingo,737.6274271,Diciembre,2025
Zona San Cristobal,523.743121,Diciembre,2025
Zona Bani,302.7057227,Diciembre,2025
Zona San Juan ,136.804011,Diciembre,2025
Zona Barahona,183.2135863,Diciembre,2025
